	C21D00958	C21D00961	C21D00964	D21D00987T	M21D00956	M21D01001	M21D01009	N21D00959	P21D00955	P21D00957M	P21D00966	P21D00968M	P21D00969M	P21D00970	P21D00971	P21D00973M	P21D00974M	P21D00979M	P21D00981M	P21D00983	P21D00984	P21D00985	P21D00991M	P21D00994M	P21D00995M	P21D00996M	P21D00998	P21D01005	P21D01016M	P21D01019	X21D00967
RICTOR_E38_STA101453	1002.0	1318.0	998.0	797.0	1108.0	405.0	581.0	1023.0	114.0	734.0	536.0	796.0	1201.0	580.0	453.0	567.0	694.0	1028.0	3603.0	665.0	1528.0	1070.0	541.0	1722.0	1182.0	383.0	855.0	118.0	2455.0	899.0	1696.0
RICTOR_E37_STA101454	4324.0	6212.0	4997.0	3010.0	5874.0	1758.0	2939.0	5599.0	595.0	2507.0	2120.0	3147.0	4912.0	3390.0	2621.0	3687.0	3488.0	4327.0	14467.0	3487.0	5623.0	3500.0	3224.0	7682.0	5181.0	1767.0	3112.0	469.0	8992.0	3930.0	7363.0
RICTOR_E36_STA101455	390.0	478.0	471.0	313.0	347.0	204.0	332.0	367.0	32.0	344.0	146.0	249.0	522.0	323.0	209.0	262.0	429.0	624.0	1869.0	280.0	571.0	363.0	258.0	740.0	514.0	206.0	425.0	32.0	942.0	383.0	701.0
RICTOR_E35_STA101456	6401.0	7306.0	6147.0	4178.0	9887.0	2707.0	3515.0	7785.0	802.0	4252.0	2779.0	3816.0	8195.0	3781.0	3485.0	5599.0	5804.0	6423.0	20309.0	5063.0	8195.0	4663.0	3567.0	9128.0	7947.0	2339.0	5168.0	795.0	14052.0	5301.0	11419.0
RICTOR_E34_STA101457	1465.0	3735.0	2677.0	951.0	2908.0	994.0	1433.0	1773.0	299.0	1402.0	333.0	886.0	2328.0	1527.0	1674.0	1248.0	1420.0	1632.0	10379.0	1553.0	2673.0	1747.0	1251.0	3532.0	3110.0	793.0	1046.0	369.0	5279.0	2440.0	2369.0
RICTOR_E33_STA101458	8667.0	10940.0	9245.0	6582.0	15896.0	4323.0	5891.0	10067.0	1107.0	7197.0	3762.0	6698.0	12449.0	5595.0	5858.0	5915.0	7703.0	9632.0	34805.0	6817.0	13471.0	7987.0	4595.0	13789.0	11689.0	3896.0	7570.0	1161.0	23308.0	9520.0	15509.0
RICTOR_E32_STA101737	3067.0	4854.0	3670.0	2296.0	4948.0	1435.0	1625.0	3812.0	528.0	1796.0	1412.0	1848.0	3747.0	2733.0	1617.0	2400.0	2698.0	3116.0	11854.0	2730.0	3980.0	2292.0	1899.0	5654.0	4119.0	998.0	2319.0	345.0	6392.0	2760.0	5072.0
RICTOR_E31_STA101460	12044.0	11527.0	10578.0	7410.0	17993.0	5687.0	6477.0	12673.0	1455.0	7932.0	6427.0	7457.0	13371.0	7560.0	6689.0	9335.0	9492.0	9098.0	31719.0	8429.0	13495.0	7240.0	5767.0	16147.0	13681.0	3723.0	8189.0	1145.0	23588.0	9473.0	17397.0
RICTOR_E31_STA101461	4607.0	5731.0	5124.0	2993.0	8578.0	2140.0	3076.0	5606.0	646.0	3142.0	2434.0	2948.0	6630.0	2910.0	2844.0	3738.0	3873.0	4854.0	16112.0	4154.0	6510.0	4091.0	2302.0	7675.0	6331.0	1697.0	4007.0	503.0	11252.0	4173.0	8467.0
RICTOR_E30_STA101462	10473.0	14117.0	9664.0	7178.0	16535.0	5135.0	6173.0	12705.0	1364.0	7099.0	3515.0	5786.0	12442.0	8600.0	6386.0	8311.0	8472.0	8985.0	36196.0	6907.0	11691.0	6155.0	6131.0	18992.0	12762.0	3470.0	7831.0	1084.0	18937.0	8181.0	15890.0
RICTOR_E29_STA101740	25335.0	29990.0	26272.0	16333.0	43406.0	11562.0	17027.0	29140.0	3667.0	16069.0	12747.0	15396.0	33475.0	20404.0	17509.0	23371.0	22561.0	21893.0	79649.0	17568.0	29414.0	14737.0	12949.0	39587.0	32931.0	8692.0	16837.0	3152.0	45031.0	21184.0	38973.0
RICTOR_E28_STA101464	2427.0	3139.0	2065.0	2135.0	4604.0	1143.0	1624.0	2369.0	469.0	1693.0	1160.0	1438.0	2843.0	1498.0	1031.0	1636.0	1981.0	2772.0	8479.0	1856.0	3232.0	2124.0	1496.0	4062.0	3120.0	708.0	1618.0	210.0	5740.0	2005.0	4098.0
RICTOR_E26_STA101466	8455.0	11374.0	8780.0	5370.0	14944.0	4389.0	5481.0	11191.0	1305.0	5799.0	3909.0	5168.0	12221.0	5991.0	5312.0	7499.0	7345.0	8211.0	30242.0	5691.0	10938.0	5009.0	6246.0	14425.0	11088.0	3557.0	6508.0	1256.0	16670.0	7012.0	13606.0
RICTOR_E25_STA101467	4284.0	6044.0	4883.0	3127.0	7099.0	1790.0	2812.0	5501.0	589.0	2742.0	2774.0	2332.0	6099.0	3336.0	2262.0	3624.0	3346.0	4342.0	15636.0	3286.0	5342.0	3338.0	3023.0	7351.0	5472.0	1886.0	2911.0	470.0	8235.0	3504.0	7097.0
RICTOR_E24_STA101468	2396.0	3862.0	2611.0	1851.0	3935.0	1095.0	1580.0	3106.0	466.0	1305.0	1379.0	1325.0	3006.0	1853.0	1250.0	2172.0	2039.0	2437.0	9370.0	1951.0	2865.0	1772.0	1708.0	4254.0	3047.0	1042.0	1701.0	252.0	4464.0	2128.0	3977.0
RICTOR_E23_STA101469	9597.0	11308.0	9827.0	7194.0	13896.0	4544.0	6728.0	11049.0	1254.0	5996.0	4686.0	5963.0	12378.0	7353.0	5262.0	8352.0	7766.0	9095.0	30555.0	6898.0	11865.0	5845.0	6563.0	14708.0	12978.0	3681.0	6253.0	1416.0	17637.0	7797.0	14634.0
RICTOR_E22_STA101470	10754.0	11724.0	11738.0	7039.0	19138.0	4996.0	7089.0	10184.0	2044.0	7127.0	6323.0	6894.0	13719.0	6943.0	5580.0	8147.0	9157.0	10879.0	34843.0	7541.0	13948.0	7259.0	4930.0	18003.0	14584.0	3920.0	6316.0	1675.0	20747.0	8971.0	17272.0
RICTOR_E21_STA101471	21893.0	21323.0	20269.0	14620.0	33228.0	9662.0	13116.0	22536.0	2830.0	14676.0	9956.0	11745.0	25324.0	12763.0	12413.0	16017.0	18213.0	19223.0	64458.0	13053.0	24983.0	14110.0	8904.0	29689.0	26762.0	7808.0	14646.0	2150.0	39600.0	16745.0	33667.0
RICTOR_E20_STA101472	15669.0	19351.0	15301.0	10703.0	20194.0	6787.0	8321.0	19824.0	2333.0	9951.0	6930.0	8874.0	16411.0	12170.0	7808.0	12561.0	11843.0	13068.0	48285.0	11017.0	17875.0	10583.0	8545.0	25029.0	19318.0	5863.0	11225.0	1792.0	30268.0	12853.0	25031.0
RICTOR_E19_STA101744	2346.0	2721.0	2238.0	1709.0	4810.0	1010.0	1989.0	2406.0	374.0	1542.0	1639.0	1523.0	3197.0	1610.0	1251.0	1724.0	2005.0	2823.0	9207.0	1472.0	3680.0	2080.0	1403.0	4702.0	3176.0	1147.0	1866.0	238.0	5302.0	2048.0	4127.0
RICTOR_E18_STA101474	8445.0	11043.0	8947.0	5418.0	15909.0	3872.0	7006.0	11747.0	1057.0	5304.0	5137.0	4972.0	12780.0	7174.0	5719.0	7067.0	7091.0	7494.0	34078.0	6387.0	10581.0	5609.0	6178.0	16641.0	11605.0	3170.0	5404.0	1357.0	16740.0	7781.0	13264.0
RICTOR_E17_STA101475	9165.0	13366.0	10733.0	6468.0	16072.0	4505.0	6584.0	12172.0	1200.0	6798.0	4039.0	5039.0	11352.0	8376.0	6957.0	7636.0	8357.0	8832.0	35031.0	8210.0	11320.0	6222.0	6219.0	17678.0	13210.0	3687.0	7569.0	1142.0	17840.0	7868.0	14695.0
RICTOR_E15_STA101477	8133.0	9324.0	9673.0	5004.0	11769.0	3058.0	5335.0	8340.0	840.0	5442.0	3936.0	5173.0	11649.0	4447.0	4391.0	6045.0	7109.0	9602.0	26162.0	4904.0	10732.0	6824.0	4683.0	12257.0	8355.0	3573.0	6436.0	895.0	17122.0	8018.0	14681.0
RICTOR_E14_STA101478	2096.0	3144.0	2400.0	1759.0	2901.0	865.0	1315.0	2984.0	325.0	901.0	1270.0	1297.0	2712.0	1498.0	1099.0	1830.0	2055.0	2734.0	7119.0	1704.0	2910.0	1929.0	1437.0	3650.0	2816.0	944.0	2078.0	258.0	4344.0	2142.0	4372.0
RICTOR_E13_STA101479	4915.0	6838.0	5572.0	4298.0	8494.0	2574.0	2829.0	6465.0	608.0	3917.0	2757.0	3764.0	6073.0	3087.0	2570.0	4173.0	4397.0	6268.0	17721.0	3763.0	6968.0	4490.0	2443.0	8789.0	6098.0	2359.0	4628.0	498.0	11239.0	4502.0	8955.0
RICTOR_E12_STA101480	5298.0	7103.0	6074.0	4592.0	8911.0	2713.0	4244.0	7353.0	731.0	3278.0	3518.0	3265.0	6631.0	4041.0	3300.0	4853.0	4147.0	4927.0	19737.0	4278.0	6802.0	3683.0	3945.0	10248.0	6963.0	2339.0	3772.0	755.0	10404.0	4599.0	7815.0
