	C21D00633	D21D00614T	D21D00615T	D21D00631T	D21D00632T	D21D00635	D21D00644T	D21D00647T	D21D00654T	M21D00642	M21D00670	M21D00671	M21D00673	M21D00676	N21D00620	N21D00643	N21D00645	N21D00657	N21D00675	P21D00617	P21D00634	P21D00636	P21D00639	P21D00640	P21D00641	P21D00646	P21D00651	P21D00661	P21D00669	P21D00674	P21D00678	P21D00679
BRCA2_E8_STA100526	1385.0	4103.0	4528.0	564.0	5950.0	2724.0	6091.0	2831.0	2555.0	2857.0	1286.0	1027.0	168.0	1928.0	6212.0	1925.0	2280.0	4289.0	2641.0	1277.0	629.0	5635.0	1176.0	2808.0	1647.0	776.0	2302.0	2063.0	1689.0	3750.0	2737.0	1649.0
BRCA2_E9_STA100527	761.0	3583.0	4107.0	494.0	6958.0	3799.0	8153.0	5114.0	4657.0	3120.0	1550.0	1432.0	504.0	2885.0	7453.0	2141.0	2853.0	5581.0	3038.0	1506.0	680.0	5763.0	1406.0	3222.0	1173.0	887.0	3924.0	2611.0	2042.0	5462.0	3924.0	2652.0
BRCA2_E9_STA100528	3410.0	21476.0	21139.0	1790.0	29939.0	15970.0	39082.0	22968.0	20346.0	17399.0	7164.0	4959.0	1732.0	14267.0	34038.0	10730.0	13179.0	23377.0	18182.0	6231.0	4548.0	27763.0	6336.0	15399.0	7143.0	4777.0	17173.0	14460.0	11314.0	23141.0	18916.0	11675.0
BRCA2_E9_STA100529	6131.0	22827.0	19923.0	2201.0	40094.0	19535.0	31193.0	20008.0	17145.0	16907.0	6257.0	4196.0	2433.0	11533.0	29389.0	9869.0	13321.0	23763.0	17002.0	5757.0	3969.0	25804.0	6283.0	15417.0	8650.0	4981.0	14779.0	15206.0	11184.0	34108.0	17067.0	10998.0
BRCA2_E10_STA100530	946.0	5702.0	6048.0	744.0	8110.0	5844.0	12235.0	6962.0	7029.0	4116.0	2691.0	2199.0	786.0	5481.0	11323.0	3380.0	4998.0	8921.0	4741.0	1634.0	1135.0	8190.0	1722.0	4470.0	2212.0	1250.0	5378.0	3523.0	2664.0	7957.0	5918.0	3614.0
BRCA2_E10_STA100531	2471.0	11949.0	10998.0	1198.0	13755.0	8824.0	18321.0	10900.0	10462.0	7692.0	4879.0	3615.0	1005.0	8723.0	18548.0	5769.0	7918.0	13989.0	8430.0	3006.0	1760.0	14076.0	3170.0	8117.0	4553.0	3010.0	8531.0	7049.0	5838.0	12088.0	10788.0	5469.0
BRCA2_E10_STA100532	678.0	3199.0	3024.0	375.0	5169.0	1732.0	4891.0	3088.0	2766.0	2264.0	1248.0	761.0	250.0	2503.0	4763.0	1593.0	2543.0	4831.0	2609.0	918.0	497.0	3534.0	923.0	3307.0	1238.0	831.0	2161.0	2060.0	1428.0	3990.0	2509.0	1482.0
BRCA2_E10_STA100533	4257.0	24634.0	24643.0	2134.0	31183.0	17007.0	39400.0	23583.0	21487.0	16892.0	10072.0	6733.0	1900.0	16404.0	36261.0	11390.0	14590.0	29715.0	17805.0	7645.0	3959.0	28376.0	6899.0	15317.0	10136.0	4941.0	18769.0	15702.0	11237.0	26177.0	19859.0	10882.0
BRCA2_E10_STA100534	1406.0	8555.0	10937.0	932.0	13613.0	7488.0	16969.0	11028.0	9949.0	6824.0	4213.0	3216.0	895.0	7127.0	16144.0	5569.0	6667.0	13715.0	7621.0	3690.0	1837.0	13849.0	3507.0	6772.0	3336.0	2196.0	9094.0	6885.0	4700.0	11094.0	9204.0	6290.0
BRCA2_E10_STA100535	1673.0	13642.0	13352.0	1085.0	17437.0	6946.0	20125.0	8365.0	11384.0	9415.0	5578.0	2378.0	743.0	9609.0	15151.0	6299.0	8781.0	17685.0	11208.0	3428.0	1935.0	14689.0	3701.0	10283.0	5934.0	3529.0	8291.0	9902.0	5985.0	13617.0	11871.0	5579.0
BRCA2_E10_STA100536	3680.0	16234.0	17952.0	1572.0	22480.0	10401.0	25950.0	14491.0	14041.0	12686.0	6708.0	3843.0	1316.0	10896.0	23549.0	7105.0	11425.0	20449.0	12454.0	4433.0	2506.0	19606.0	4250.0	12441.0	7232.0	4176.0	10989.0	11591.0	8129.0	18164.0	14247.0	7929.0
BRCA2_E10_STA100537	2536.0	12107.0	11939.0	1547.0	20919.0	8561.0	19274.0	11961.0	10620.0	8480.0	4953.0	3291.0	1419.0	9222.0	19243.0	5861.0	8957.0	17770.0	10166.0	3753.0	2217.0	13167.0	3820.0	10927.0	5349.0	2932.0	8427.0	8844.0	6240.0	16496.0	9678.0	6202.0
BRCA2_E10_STA100538	1691.0	9331.0	9552.0	864.0	11628.0	6509.0	16226.0	10339.0	8854.0	7163.0	3977.0	2562.0	641.0	7066.0	14234.0	4671.0	5598.0	11001.0	7439.0	3018.0	1759.0	12204.0	2751.0	6747.0	3386.0	2033.0	6745.0	5938.0	4628.0	10186.0	8228.0	4516.0
BRCA2_E10_STA100539	1571.0	6642.0	7336.0	1068.0	10673.0	7116.0	12263.0	8345.0	6964.0	5209.0	2890.0	2630.0	1253.0	6014.0	11483.0	3982.0	4738.0	7961.0	5391.0	2385.0	1502.0	9336.0	2452.0	4895.0	2798.0	1603.0	5734.0	4577.0	3027.0	10039.0	6459.0	4373.0
BRCA2_E10_STA100540	2780.0	16710.0	18186.0	1959.0	23964.0	15076.0	33935.0	20306.0	17997.0	12234.0	7972.0	6145.0	1929.0	13703.0	30047.0	9691.0	12072.0	22974.0	14768.0	5607.0	3403.0	24029.0	6006.0	11919.0	6722.0	3888.0	14940.0	11806.0	7836.0	23073.0	17635.0	10138.0
BRCA2_E10_STA100541	6594.0	26334.0	25887.0	3924.0	39911.0	25859.0	42103.0	25084.0	22610.0	19164.0	10638.0	8657.0	2954.0	18909.0	40748.0	12714.0	17980.0	29825.0	19802.0	8102.0	4536.0	29331.0	8059.0	18375.0	11463.0	5513.0	18023.0	17274.0	13039.0	34228.0	21752.0	14132.0
BRCA2_E10_STA100542	3348.0	11408.0	11172.0	687.0	19143.0	9305.0	18505.0	10198.0	9733.0	8458.0	4476.0	3065.0	1277.0	7238.0	17186.0	5546.0	8791.0	14556.0	9118.0	3393.0	1956.0	12201.0	3018.0	9106.0	5101.0	2710.0	7281.0	7716.0	5535.0	14509.0	9690.0	5740.0
BRCA2_E10_STA100543	1533.0	4576.0	4827.0	678.0	8657.0	4243.0	8421.0	4007.0	3839.0	3814.0	1612.0	1296.0	484.0	2910.0	6972.0	2306.0	3637.0	5975.0	3707.0	1336.0	874.0	5730.0	1201.0	3684.0	2205.0	1190.0	3081.0	3283.0	2268.0	6407.0	3974.0	2732.0
BRCA2_E11_STA100544	3046.0	11534.0	11040.0	1658.0	25720.0	10349.0	19300.0	10494.0	10524.0	8661.0	4015.0	2729.0	1859.0	7152.0	19342.0	5335.0	8305.0	16090.0	9722.0	2641.0	2135.0	12819.0	3235.0	10436.0	4151.0	2899.0	8538.0	8435.0	5814.0	18714.0	9388.0	6370.0
BRCA2_E11_STA100545	1985.0	10638.0	11374.0	1237.0	16989.0	9609.0	19749.0	11107.0	10849.0	8383.0	4125.0	3277.0	1162.0	7276.0	19511.0	5611.0	7978.0	14502.0	9320.0	2894.0	2221.0	13970.0	2997.0	8502.0	4122.0	2433.0	9105.0	7747.0	5808.0	15546.0	9719.0	6195.0
BRCA2_E11_STA100546	1480.0	11600.0	12162.0	1128.0	15983.0	9277.0	24707.0	14873.0	13464.0	8257.0	5076.0	3618.0	646.0	9953.0	20196.0	6131.0	7392.0	14738.0	11623.0	4459.0	2672.0	18866.0	3949.0	8101.0	4250.0	2964.0	11900.0	9259.0	6786.0	13880.0	13171.0	7214.0
BRCA2_E11_STA100547	3672.0	17369.0	18160.0	1734.0	26771.0	11538.0	25154.0	16770.0	14939.0	11895.0	5597.0	4762.0	1659.0	10584.0	24440.0	6842.0	12445.0	22004.0	12876.0	4476.0	2748.0	18963.0	4933.0	12676.0	8684.0	3787.0	12057.0	12388.0	8557.0	21992.0	13464.0	8734.0
BRCA2_E11_STA100548	3852.0	16352.0	16564.0	1511.0	29108.0	11418.0	24648.0	13864.0	14113.0	11348.0	6325.0	4710.0	2217.0	10935.0	25792.0	7439.0	10493.0	21538.0	11431.0	4808.0	2707.0	18784.0	4933.0	12308.0	6178.0	3611.0	10583.0	10554.0	7387.0	20092.0	12328.0	7643.0
BRCA2_E11_STA100549	1739.0	8053.0	8279.0	1089.0	13968.0	5860.0	13124.0	8859.0	8186.0	6046.0	3765.0	2651.0	1018.0	6237.0	12885.0	4345.0	6369.0	12878.0	7018.0	2456.0	1288.0	9677.0	2615.0	7214.0	3495.0	1999.0	6162.0	6320.0	4524.0	11538.0	7451.0	4821.0
BRCA2_E11_STA100550	2989.0	15592.0	17351.0	1932.0	24807.0	14717.0	30314.0	17498.0	18002.0	10869.0	7309.0	6328.0	2178.0	12896.0	30046.0	8055.0	12304.0	22854.0	13925.0	5286.0	3144.0	21585.0	4950.0	11778.0	6111.0	3582.0	13862.0	10510.0	8149.0	24575.0	15696.0	9800.0
BRCA2_E11_STA100551	4724.0	20738.0	21198.0	2276.0	26430.0	17441.0	35689.0	20508.0	19247.0	14017.0	8026.0	7144.0	1869.0	17450.0	34053.0	8970.0	14103.0	25082.0	17700.0	5964.0	3918.0	26327.0	5932.0	14626.0	8497.0	5091.0	16410.0	13893.0	10636.0	24214.0	18487.0	10984.0
BRCA2_E11_STA100552	1903.0	7737.0	6642.0	891.0	11566.0	5841.0	11962.0	7289.0	7453.0	5300.0	2833.0	2191.0	897.0	5978.0	11804.0	3345.0	5478.0	11259.0	6434.0	2219.0	1175.0	8793.0	1943.0	6428.0	3401.0	2030.0	4950.0	5265.0	3376.0	9875.0	6525.0	3923.0
BRCA2_E11_STA100553	6649.0	25343.0	25927.0	4222.0	43452.0	19615.0	37432.0	23589.0	22488.0	18912.0	10442.0	7906.0	3596.0	18918.0	37898.0	11025.0	19450.0	35730.0	20492.0	6611.0	3960.0	29111.0	7596.0	20283.0	11163.0	5771.0	17100.0	16931.0	12648.0	34932.0	20836.0	13884.0
BRCA2_E11_STA100554	2934.0	12979.0	14786.0	2068.0	19689.0	10219.0	20897.0	12882.0	12420.0	8779.0	6015.0	4562.0	1706.0	10077.0	19962.0	6428.0	9409.0	17388.0	9864.0	4017.0	2092.0	17222.0	3991.0	9330.0	4838.0	2704.0	9065.0	7888.0	5912.0	16485.0	12405.0	7020.0
BRCA2_E11_STA100555	3221.0	15484.0	14854.0	2235.0	23256.0	10448.0	23497.0	15455.0	14175.0	11644.0	6193.0	4495.0	1248.0	11958.0	23306.0	6966.0	11460.0	20570.0	13761.0	4277.0	2468.0	17766.0	4317.0	12394.0	6539.0	3770.0	10820.0	10778.0	7836.0	18332.0	12922.0	7380.0
BRCA2_E11_STA100556	1230.0	5779.0	6289.0	851.0	8148.0	4671.0	10001.0	7057.0	5834.0	4578.0	2543.0	2080.0	535.0	4881.0	9765.0	2961.0	4165.0	7437.0	4629.0	2124.0	1143.0	7929.0	1814.0	4445.0	2471.0	1545.0	5114.0	3674.0	2781.0	6669.0	5409.0	2852.0
BRCA2_E11_STA100557	1300.0	5655.0	6432.0	921.0	8721.0	5667.0	11318.0	7043.0	6571.0	4137.0	2679.0	2363.0	705.0	5901.0	10936.0	2970.0	4666.0	7773.0	5100.0	1946.0	1034.0	8860.0	2128.0	4555.0	2105.0	1305.0	5554.0	3407.0	2868.0	8105.0	6049.0	3636.0
BRCA2_E11_STA100558	3821.0	14263.0	13818.0	1881.0	21999.0	9613.0	20193.0	12969.0	13007.0	9663.0	5528.0	3737.0	1347.0	9849.0	20773.0	6075.0	11038.0	18478.0	10913.0	3992.0	2235.0	16867.0	3425.0	11175.0	6133.0	3293.0	9418.0	8737.0	6537.0	17257.0	10962.0	7112.0
BRCA2_E11_STA100559	1699.0	9047.0	9184.0	762.0	12577.0	5078.0	14210.0	7881.0	7777.0	6263.0	3501.0	1867.0	447.0	6117.0	14000.0	4753.0	5708.0	11626.0	7313.0	2429.0	1391.0	10337.0	2564.0	6999.0	4378.0	1936.0	5320.0	5834.0	4136.0	9874.0	7164.0	3693.0
BRCA2_E11_STA100560	3897.0	17009.0	16047.0	2091.0	28078.0	11424.0	24718.0	16959.0	14848.0	12308.0	8023.0	4720.0	1764.0	12009.0	25562.0	7606.0	13106.0	25202.0	13522.0	4944.0	2825.0	19476.0	4992.0	14360.0	7160.0	4280.0	12904.0	12385.0	8861.0	20385.0	14249.0	8870.0
