	C21D01093	D21D01026T	D21D01032T	D21D01039T	D21D01059T	D21D01061T	D21D01081	D21D01082	D21D01087T	D21D01090	D21D01094T	D21D01102T	E21D01053T	M21D01116	N19D01411	N21D01072	N21D01084	N21D01085	N21D01113	O21D01018T	P21D01091M	P21D01092M	P21D01098	P21D01099	P21D01104	T21D01047	U21D01089	U21D01103	X21D01017	X21D01086	X21D01095
IDH1_E4_STA100133	3927.0	4157.0	6546.0	6613.0	6081.0	1972.0	7150.0	5898.0	12365.0	1810.0	11923.0	3873.0	8246.0	9706.0	3150.0	607.0	4468.0	2715.0	4865.0	1426.0	5735.0	2044.0	7878.0	10398.0	7560.0	878.0	4112.0	2715.0	3696.0	25594.0	7946.0
IDH1_E4_STA100134	3799.0	6466.0	8788.0	9083.0	8039.0	2626.0	6113.0	5126.0	11973.0	2276.0	12189.0	3169.0	10395.0	11138.0	2697.0	925.0	5721.0	4225.0	5109.0	1692.0	7305.0	2118.0	7560.0	11642.0	8096.0	946.0	4272.0	2089.0	4389.0	35331.0	7517.0
ERBB4_E12_STA100135	3611.0	5282.0	9160.0	8156.0	7442.0	2489.0	7682.0	5848.0	12398.0	1474.0	11789.0	3539.0	9547.0	10860.0	3526.0	726.0	5739.0	3435.0	4617.0	1522.0	6383.0	2163.0	6028.0	10310.0	7943.0	1603.0	4202.0	3389.0	4250.0	36793.0	8367.0
ERBB4_E12_STA100136	2183.0	2967.0	4756.0	5962.0	3526.0	1376.0	4233.0	3302.0	9036.0	1158.0	8118.0	1588.0	5795.0	7335.0	1662.0	420.0	3054.0	2223.0	2808.0	792.0	3896.0	1552.0	4145.0	5955.0	5163.0	918.0	2731.0	1966.0	2394.0	20252.0	5406.0
ERBB4_E12_STA100137	3343.0	3992.0	6053.0	6356.0	5529.0	2056.0	5912.0	4775.0	12518.0	1692.0	10442.0	2954.0	7780.0	9416.0	2939.0	716.0	4365.0	2821.0	4929.0	1137.0	5328.0	1631.0	5692.0	8296.0	7481.0	1356.0	3573.0	2730.0	3246.0	25999.0	6827.0
ERBB4_E11_STA100138	469.0	1002.0	1327.0	1596.0	1088.0	494.0	777.0	718.0	1742.0	390.0	1492.0	509.0	1602.0	1634.0	374.0	166.0	780.0	661.0	968.0	244.0	1202.0	236.0	1103.0	1810.0	1106.0	134.0	608.0	449.0	718.0	6469.0	1012.0
ERBB4_E11_STA101738	696.0	1470.0	2319.0	2262.0	1573.0	625.0	1549.0	1144.0	3109.0	386.0	3257.0	672.0	2728.0	2643.0	760.0	174.0	1487.0	669.0	1144.0	337.0	1737.0	382.0	1728.0	2774.0	1525.0	332.0	915.0	601.0	886.0	8801.0	2051.0
ERBB4_E10_STA100140	2276.0	2225.0	4837.0	4816.0	3773.0	1132.0	4116.0	2626.0	7865.0	758.0	6967.0	2130.0	5037.0	5625.0	1538.0	294.0	2818.0	1656.0	2749.0	880.0	4058.0	1164.0	3111.0	5913.0	4099.0	784.0	2477.0	1624.0	2250.0	19795.0	4409.0
VHL_E1_STA103214	346.0	431.0	682.0	705.0	917.0	66.0	731.0	471.0	1900.0	148.0	1872.0	391.0	911.0	1521.0	508.0	41.0	446.0	540.0	361.0	210.0	764.0	295.0	493.0	894.0	1161.0	211.0	627.0	418.0	329.0	4165.0	1181.0
VHL_E1_STA101149	937.0	293.0	474.0	569.0	463.0	44.0	361.0	238.0	4104.0	305.0	3543.0	640.0	628.0	2792.0	309.0	24.0	220.0	293.0	858.0	120.0	1565.0	647.0	861.0	1597.0	2139.0	173.0	1068.0	775.0	278.0	2312.0	2468.0
VHL_E1_STA102009	1168.0	787.0	1899.0	2268.0	1739.0	138.0	1599.0	1451.0	5474.0	402.0	3984.0	804.0	2608.0	2882.0	1513.0	80.0	981.0	1378.0	974.0	449.0	1871.0	701.0	894.0	1782.0	2493.0	447.0	1387.0	1001.0	984.0	9409.0	2785.0
VHL_E2_STA101152	1005.0	2093.0	3477.0	3388.0	4457.0	712.0	2972.0	1653.0	5030.0	694.0	4053.0	1579.0	4120.0	4295.0	2225.0	286.0	2238.0	2185.0	2323.0	1273.0	2614.0	816.0	1675.0	3479.0	2573.0	410.0	1517.0	1259.0	1841.0	20227.0	2906.0
VHL_E2_STA101153	1224.0	1863.0	3296.0	3945.0	3892.0	710.0	2549.0	1651.0	5926.0	696.0	5060.0	1340.0	4504.0	3301.0	1940.0	226.0	2073.0	1734.0	2221.0	876.0	2437.0	772.0	1822.0	3742.0	2360.0	438.0	1600.0	1291.0	1452.0	17689.0	2621.0
VHL_E3_STA101154	2935.0	4080.0	7646.0	7489.0	7113.0	1578.0	5526.0	4760.0	13988.0	1703.0	13209.0	3845.0	8008.0	10388.0	4459.0	405.0	5035.0	3584.0	4833.0	1871.0	6278.0	2647.0	5330.0	8317.0	8675.0	1026.0	4662.0	3287.0	3254.0	35859.0	8461.0
