	D20D02433	D20D02436T	D20D02444	D20D02445T	G20D02417	G20D02460	K20D02437	M20D02448	M20D02474	N20D02449	N20D02451	N20D02452	P20D02439	P20D02450	P20D02453	P20D02454	P20D02455	P20D02456	P20D02459	P20D02464	P20D02465	P20D02469	P20D02471	S20D02363	S20D02435	S20D02473	T20D02402	U20D02442	U20D02443	X20D02423	X20D02457
ERBB2_E24_STA100075	4095.0	2126.0	3480.0	4142.0	866.0	5893.0	305.0	1301.0	2542.0	493.0	2316.0	4195.0	3509.0	4546.0	4426.0	968.0	3132.0	2236.0	969.0	3622.0	8535.0	2529.0	1969.0	464.0	92434.0	212.0	748.0	115.0	2236.0	19279.0	3526.0
ERBB2_E24_STA100076	11310.0	4903.0	6588.0	7954.0	2520.0	17780.0	592.0	3374.0	8661.0	1406.0	5814.0	11447.0	10022.0	12768.0	12367.0	3177.0	9893.0	4118.0	2473.0	10675.0	22267.0	4529.0	5251.0	1270.0	223605.0	630.0	2555.0	295.0	6146.0	69736.0	9492.0
ERBB2_E26_STA101363	17043.0	7737.0	10185.0	14768.0	3133.0	21540.0	1094.0	4922.0	11018.0	1568.0	8309.0	17008.0	13811.0	18241.0	17840.0	4060.0	14035.0	7163.0	4193.0	13246.0	29329.0	10485.0	8597.0	1886.0	355716.0	999.0	3393.0	399.0	8691.0	85048.0	14810.0
ERBB2_E27_STA101364	818.0	493.0	890.0	1145.0	178.0	2054.0	99.0	377.0	761.0	88.0	1007.0	1492.0	1320.0	1598.0	1343.0	299.0	1020.0	527.0	278.0	1111.0	2284.0	750.0	949.0	187.0	21049.0	128.0	224.0	14.0	609.0	4669.0	1419.0
ERBB2_E28_STA101365	7328.0	3587.0	5411.0	6934.0	1575.0	11582.0	402.0	2508.0	6167.0	513.0	4100.0	8730.0	7263.0	10764.0	9270.0	2196.0	8160.0	2743.0	2367.0	6459.0	13425.0	5586.0	4902.0	1049.0	157045.0	468.0	1528.0	171.0	4054.0	37323.0	8551.0
ERBB2_E29_STA101366	9855.0	5491.0	6683.0	9722.0	1793.0	17220.0	616.0	2853.0	7904.0	627.0	6866.0	10059.0	9605.0	11967.0	11362.0	2974.0	8775.0	4614.0	2188.0	8916.0	18927.0	6484.0	4843.0	1439.0	221799.0	609.0	2241.0	307.0	5720.0	50059.0	11194.0
ERBB2_E30_STA101367	2721.0	1624.0	2240.0	3098.0	556.0	4539.0	271.0	880.0	2038.0	278.0	2184.0	3430.0	2154.0	3712.0	2980.0	602.0	2741.0	1339.0	936.0	2511.0	5824.0	2150.0	1831.0	350.0	50144.0	192.0	599.0	115.0	1623.0	11678.0	2870.0
BRCA1_E23_STA100977	13961.0	6746.0	8005.0	12276.0	4880.0	20475.0	1236.0	5087.0	12597.0	1452.0	6785.0	15059.0	10142.0	17954.0	16512.0	3676.0	16028.0	6334.0	6667.0	13544.0	20802.0	12179.0	7695.0	1948.0	8461.0	1207.0	4102.0	500.0	8730.0	71587.0	13658.0
BRCA1_E23_STA100978	9256.0	4987.0	6425.0	9306.0	3215.0	12469.0	654.0	3435.0	7766.0	944.0	4197.0	8793.0	5586.0	8830.0	9650.0	2332.0	9137.0	4303.0	4300.0	7335.0	12866.0	7199.0	4933.0	1433.0	6896.0	628.0	2552.0	217.0	4188.0	42370.0	9272.0
BRCA1_E22_STA100979	4813.0	2528.0	3409.0	5587.0	1743.0	8422.0	599.0	1902.0	4908.0	371.0	3022.0	5821.0	3572.0	7291.0	6342.0	1746.0	6296.0	2892.0	2837.0	4862.0	8028.0	4657.0	3161.0	1103.0	3927.0	474.0	1775.0	132.0	2890.0	19555.0	6437.0
