	D20D02477T	D20D02527	D21D00009T	D21D00012T	K20D02522T	M20D02483	M20D02521	M20D02532	M21D00003	M21D00004	M21D00010	N21D00002	N21D00011	N21D00032	P20D02524	P20D02526	P20D02528	P20D02529	P21D00014	P21D00017	P21D00020	P21D00025	P21D00036	P21D00039	P21D00041	S21D00030T	U21D00008	X20D02446HPV
RAD51D_E9_STA100959	5435.0	4224.0	17093.0	1720.0	859.0	2778.0	8754.0	3837.0	4075.0	6949.0	8024.0	17870.0	31157.0	46073.0	372.0	252.0	276.0	9316.0	684.0	3673.0	1695.0	5140.0	13547.0	2970.0	6281.0	718.0	722.0	3352.0
RAD51D_E8_STA100960	2283.0	1025.0	5436.0	634.0	265.0	1060.0	2056.0	948.0	973.0	2057.0	1868.0	5377.0	8739.0	15856.0	98.0	62.0	116.0	2821.0	117.0	1237.0	590.0	1286.0	3764.0	1042.0	1869.0	177.0	207.0	1089.0
RAD51D_E8_STA100961	2840.0	1296.0	6093.0	904.0	327.0	1176.0	2579.0	1327.0	1224.0	2955.0	2123.0	7339.0	12019.0	18605.0	159.0	69.0	104.0	3317.0	183.0	1407.0	814.0	1700.0	4602.0	1396.0	2191.0	284.0	237.0	1358.0
RAD51D_E8_STA100962	459.0	319.0	903.0	191.0	40.0	125.0	299.0	167.0	209.0	529.0	219.0	1662.0	3144.0	4139.0	18.0	9.0	24.0	520.0	65.0	346.0	163.0	179.0	894.0	211.0	315.0	103.0	18.0	251.0
RAD51D_E7_STA100963	8166.0	5232.0	22812.0	2441.0	659.0	3753.0	9718.0	4100.0	5282.0	9724.0	6924.0	27248.0	39134.0	66105.0	653.0	247.0	599.0	14858.0	797.0	5202.0	2869.0	4912.0	17256.0	3974.0	8546.0	1298.0	775.0	6074.0
RAD51D_E7_STA101783	8016.0	4720.0	20252.0	2176.0	1270.0	3963.0	8692.0	4116.0	5117.0	8489.0	7293.0	23765.0	37361.0	59199.0	714.0	154.0	612.0	13228.0	600.0	5653.0	2431.0	4920.0	14552.0	3943.0	7245.0	851.0	843.0	4077.0
RAD51D_E6_STA100965	1631.0	1089.0	4522.0	583.0	288.0	732.0	2154.0	1212.0	873.0	1701.0	2145.0	5226.0	7865.0	12932.0	102.0	54.0	48.0	2309.0	158.0	1109.0	597.0	1244.0	3443.0	757.0	1484.0	258.0	215.0	954.0
RAD51D_E6_STA100966	4978.0	3861.0	13073.0	1972.0	723.0	2044.0	6116.0	2807.0	2707.0	6181.0	4768.0	16021.0	27704.0	37914.0	340.0	230.0	450.0	7105.0	460.0	3625.0	2160.0	2048.0	9672.0	2043.0	5572.0	875.0	354.0	3290.0
RAD51D_E5_STA100967	11983.0	8111.0	27988.0	4049.0	2533.0	5355.0	15802.0	9261.0	6086.0	11683.0	13518.0	30149.0	52073.0	71800.0	751.0	348.0	410.0	16110.0	966.0	7934.0	3652.0	7889.0	22592.0	4862.0	11507.0	2476.0	1096.0	6105.0
RAD51D_E5_STA100968	15855.0	10033.0	47181.0	4910.0	2377.0	8815.0	24646.0	12044.0	11069.0	20014.0	15918.0	51540.0	74317.0	110301.0	982.0	638.0	1056.0	29926.0	1654.0	11641.0	6012.0	13389.0	35538.0	8789.0	17750.0	2398.0	1959.0	9138.0
RAD51D_E5_STA100969	12841.0	7257.0	32022.0	3594.0	2240.0	6653.0	15335.0	7944.0	6786.0	14153.0	12137.0	35099.0	49386.0	80689.0	887.0	327.0	1021.0	19982.0	1111.0	7426.0	4371.0	8733.0	22658.0	5852.0	12067.0	1351.0	1246.0	8072.0
RAD51D_E4_STA100970	16212.0	11107.0	48267.0	5084.0	2441.0	8856.0	22353.0	10318.0	11208.0	19291.0	18022.0	51371.0	74426.0	118783.0	1054.0	599.0	1225.0	28808.0	1583.0	11172.0	5127.0	11940.0	34299.0	8276.0	16377.0	2737.0	2282.0	9589.0
RAD51D_E4_STA100971	5312.0	3898.0	12904.0	1545.0	1394.0	2967.0	7005.0	3395.0	2693.0	6770.0	4473.0	14618.0	25561.0	31744.0	309.0	221.0	377.0	7951.0	441.0	3631.0	1910.0	2557.0	11536.0	2682.0	5760.0	1140.0	539.0	3081.0
RAD51D_E3_STA100972	12122.0	8461.0	38064.0	4129.0	2624.0	9528.0	19774.0	11087.0	8314.0	16833.0	13756.0	38969.0	64514.0	90534.0	955.0	525.0	1087.0	22938.0	1253.0	7916.0	5569.0	9813.0	25384.0	7899.0	19195.0	2480.0	1079.0	7372.0
RAD51D_E3_STA100973	3549.0	2260.0	9541.0	1077.0	424.0	1863.0	4268.0	1744.0	1891.0	5194.0	2278.0	11051.0	16494.0	23906.0	171.0	150.0	315.0	6206.0	242.0	2308.0	1661.0	1918.0	7312.0	1798.0	4499.0	616.0	206.0	1913.0
RAD51D_E3_STA100974	11860.0	5864.0	29343.0	2693.0	1594.0	6186.0	13561.0	7551.0	5244.0	14921.0	9548.0	27817.0	47316.0	64844.0	737.0	284.0	302.0	14855.0	1095.0	5470.0	3451.0	10847.0	17178.0	6150.0	11727.0	1284.0	731.0	5185.0
RAD51D_E2_STA100975	4373.0	2959.0	11632.0	1387.0	533.0	2878.0	5206.0	2706.0	2477.0	4754.0	2839.0	13469.0	21119.0	30975.0	323.0	162.0	225.0	6734.0	334.0	2394.0	1267.0	3363.0	8768.0	2518.0	5240.0	452.0	354.0	2202.0
RAD51D_E1_STA100976	1652.0	555.0	3079.0	253.0	86.0	824.0	967.0	489.0	586.0	1284.0	783.0	3161.0	4371.0	8573.0	112.0	42.0	55.0	1742.0	57.0	655.0	362.0	881.0	2054.0	761.0	1340.0	49.0	158.0	645.0
ERBB2_E0_STA101633	2638.0	1172.0	4574.0	417.0	263.0	1278.0	1696.0	1252.0	1052.0	2268.0	1453.0	5924.0	9041.0	14092.0	148.0	53.0	73.0	2582.0	272.0	1085.0	556.0	2376.0	4075.0	1192.0	2443.0	169.0	163.0	852.0
