	C21D00284	C21D00304	C21D00307	D21D00280T	D21D00289	D21D00299	D21D00327T	D21D00329T	D21D00335T	D21D00342T	M21D00265	M21D00302	N21D00272	N21D00273	N21D00290	N21D00301	N21D00310	P21D00308	P21D00309	P21D00322	P21D00332	P21D00334	P21D00338	P21D00341	P21D00343	P21D00346	S21D00266	U21D00339	X21D00263	X21D00340
RICTOR_E24_STA101468	1069.0	388.0	1666.0	2016.0	1396.0	626.0	1990.0	720.0	672.0	5962.0	1344.0	1638.0	1580.0	468.0	1368.0	585.0	142.0	2479.0	953.0	1826.0	562.0	2308.0	2710.0	484.0	312.0	414.0	582.0	74.0	812.0	1050.0
RICTOR_E23_STA101469	4676.0	2111.0	6795.0	9962.0	6296.0	2277.0	8029.0	3202.0	4021.0	25431.0	5600.0	6636.0	7444.0	1753.0	7305.0	3170.0	675.0	10449.0	3096.0	7858.0	2351.0	10075.0	11298.0	2419.0	1445.0	2314.0	2926.0	330.0	4664.0	4328.0
RICTOR_E22_STA101470	5278.0	2745.0	7841.0	10537.0	7251.0	2596.0	10030.0	2649.0	4255.0	34174.0	7342.0	7990.0	8003.0	2099.0	7870.0	2961.0	750.0	14261.0	3385.0	9657.0	2632.0	12346.0	14825.0	2348.0	1357.0	2423.0	3697.0	533.0	5316.0	3350.0
RICTOR_E21_STA101471	10466.0	4673.0	12784.0	20286.0	12674.0	5736.0	16194.0	4757.0	8542.0	55487.0	13504.0	15420.0	14656.0	4259.0	15385.0	6256.0	1122.0	24269.0	7337.0	17373.0	4717.0	21988.0	28825.0	4978.0	2919.0	4634.0	6193.0	1344.0	10851.0	7716.0
RICTOR_E20_STA101472	8023.0	3377.0	9530.0	15564.0	11127.0	4467.0	13384.0	5116.0	5636.0	35037.0	10050.0	11211.0	10505.0	3440.0	9981.0	4974.0	1265.0	19139.0	6310.0	12600.0	3831.0	19016.0	20893.0	3557.0	2411.0	4004.0	3557.0	627.0	7146.0	7872.0
RICTOR_E19_STA101744	882.0	394.0	2053.0	2370.0	1451.0	502.0	1888.0	643.0	635.0	7584.0	1354.0	1434.0	1286.0	545.0	1618.0	711.0	159.0	3179.0	465.0	1921.0	440.0	2090.0	2974.0	523.0	448.0	486.0	890.0	52.0	1051.0	762.0
RICTOR_E18_STA101474	3829.0	2150.0	6036.0	10679.0	5268.0	1830.0	8202.0	2955.0	3279.0	29726.0	6584.0	6656.0	6358.0	1813.0	6384.0	3046.0	770.0	10221.0	2495.0	7300.0	2426.0	9990.0	10385.0	2198.0	1225.0	1959.0	3304.0	371.0	5204.0	3470.0
RICTOR_E17_STA101475	4587.0	1883.0	5828.0	11534.0	5958.0	2351.0	9039.0	3370.0	3129.0	31229.0	6707.0	7452.0	6852.0	1812.0	7196.0	3516.0	654.0	11332.0	3766.0	8426.0	2538.0	10774.0	13913.0	2388.0	1772.0	2044.0	3335.0	570.0	5583.0	4233.0
RICTOR_E15_STA101477	3707.0	1548.0	5661.0	6476.0	5647.0	1962.0	8625.0	2193.0	3001.0	24366.0	4609.0	6027.0	6738.0	1680.0	6819.0	2169.0	469.0	12710.0	2583.0	7070.0	1776.0	8985.0	9826.0	1468.0	1358.0	1798.0	2452.0	339.0	3029.0	3435.0
RICTOR_E14_STA101478	729.0	415.0	1440.0	1866.0	1329.0	434.0	1806.0	555.0	614.0	4613.0	1028.0	1477.0	1637.0	371.0	1157.0	561.0	148.0	1923.0	849.0	1541.0	505.0	2212.0	2220.0	373.0	304.0	500.0	324.0	76.0	522.0	891.0
RICTOR_E13_STA101479	2612.0	1252.0	4686.0	4983.0	4080.0	1805.0	5185.0	1340.0	2263.0	15467.0	3710.0	4040.0	4779.0	1400.0	4500.0	1645.0	425.0	7809.0	2319.0	4911.0	1297.0	7445.0	7260.0	1320.0	1106.0	1290.0	1636.0	193.0	2827.0	2164.0
RICTOR_E12_STA101480	2603.0	1004.0	4400.0	5962.0	3982.0	1340.0	5264.0	1839.0	2192.0	16274.0	3676.0	3870.0	3852.0	1043.0	4272.0	1814.0	442.0	5969.0	1632.0	4128.0	1389.0	5951.0	6236.0	1426.0	1026.0	1143.0	1826.0	262.0	3009.0	2013.0
RICTOR_E11_STA101481	1276.0	724.0	2315.0	2418.0	1638.0	532.0	2303.0	768.0	1014.0	7711.0	1629.0	2318.0	2257.0	466.0	2026.0	761.0	171.0	3343.0	925.0	2235.0	656.0	3109.0	2697.0	773.0	366.0	387.0	886.0	143.0	1215.0	812.0
