	D21D00353	D21D00358T	D21D00362	D21D00364	E21D00361	N21D00347	N21D00348	P21D00345	P21D00352	P21D00354	P21D00356	P21D00357	P21D00359	P21D00365	X21D00316	X21D00317	X21D00318	X21D00355
NF1_E32_STA100876	4804.0	13754.0	23366.0	7702.0	22921.0	18874.0	9168.0	1077.0	14639.0	13695.0	17668.0	8746.0	16523.0	8800.0	9591.0	5140.0	7583.0	9638.0
NF1_E33_STA101832	2506.0	9198.0	17450.0	5803.0	11173.0	13667.0	7498.0	737.0	8368.0	9067.0	12055.0	7417.0	10888.0	5579.0	7315.0	3844.0	5387.0	6899.0
NF1_E33_STA101823	4280.0	15716.0	30009.0	10154.0	19018.0	23442.0	13288.0	1275.0	14041.0	15223.0	20922.0	12919.0	18570.0	9709.0	12549.0	6370.0	9295.0	11914.0
NF1_E33_STA100879	1210.0	3519.0	7275.0	2219.0	5828.0	4790.0	2288.0	312.0	3913.0	3597.0	4323.0	2683.0	3650.0	2005.0	2447.0	1266.0	1960.0	2631.0
NF1_E34_STA100880	1292.0	4413.0	8124.0	2132.0	5469.0	6159.0	3324.0	270.0	4855.0	4334.0	5474.0	2922.0	5507.0	3200.0	3285.0	1763.0	2267.0	3369.0
NF1_E34_STA100881	2185.0	8439.0	12312.0	3581.0	9038.0	10499.0	4719.0	875.0	6502.0	6858.0	9805.0	5797.0	6501.0	4887.0	4248.0	2396.0	4690.0	5453.0
NF1_E34_STA100882	2182.0	8615.0	15108.0	4598.0	12966.0	11581.0	5352.0	535.0	7585.0	8845.0	10061.0	6130.0	7941.0	5021.0	5277.0	2522.0	4532.0	5807.0
NF1_E35_STA100883	652.0	2868.0	5057.0	1193.0	2669.0	4565.0	2041.0	184.0	2686.0	2938.0	3267.0	2037.0	3641.0	1743.0	2312.0	960.0	1460.0	2534.0
NF1_E35_STA100884	1627.0	8832.0	13835.0	3225.0	9414.0	10466.0	6450.0	546.0	8324.0	8660.0	9868.0	5117.0	7888.0	4418.0	5997.0	2749.0	3826.0	5248.0
NF1_E35_STA100885	3330.0	13471.0	24311.0	6256.0	13359.0	18350.0	9000.0	1189.0	8918.0	11200.0	15379.0	9074.0	11870.0	7700.0	9455.0	4637.0	6489.0	10106.0
NF1_E36_STA101837	2164.0	7801.0	13635.0	3867.0	10025.0	12885.0	6202.0	608.0	9945.0	9263.0	10825.0	5476.0	10530.0	5179.0	6475.0	2879.0	4197.0	6603.0
NF1_E36_STA100887	937.0	3374.0	8090.0	2180.0	4719.0	6437.0	2798.0	239.0	4935.0	4893.0	5124.0	2877.0	5019.0	2844.0	3281.0	1520.0	2059.0	3213.0
NF1_E37_STA100888	959.0	2444.0	4732.0	1461.0	2122.0	4434.0	1669.0	164.0	2367.0	2548.0	3193.0	2080.0	3579.0	1643.0	1552.0	676.0	1250.0	1956.0
NF1_E37_STA100889	306.0	1358.0	2584.0	668.0	1060.0	2291.0	698.0	104.0	910.0	1252.0	1741.0	1239.0	1462.0	807.0	812.0	480.0	737.0	1124.0
NF1_E37_STA100890	2111.0	7976.0	13631.0	3827.0	6926.0	10949.0	3706.0	687.0	7536.0	7786.0	9414.0	5444.0	7025.0	5271.0	4759.0	1863.0	3325.0	5625.0
NF1_E37_STA100891	4773.0	19735.0	31945.0	8111.0	17580.0	27547.0	11540.0	2041.0	14090.0	19638.0	22249.0	14760.0	15892.0	11826.0	12124.0	6090.0	10420.0	14294.0
NF1_E37_STA100893	1465.0	5481.0	9894.0	1942.0	6848.0	8657.0	4165.0	486.0	5413.0	6616.0	6313.0	4498.0	5554.0	3238.0	4088.0	1947.0	2646.0	4165.0
NF1_E38_STA100894	2185.0	11379.0	18205.0	5288.0	10593.0	14644.0	6104.0	1211.0	8462.0	8795.0	12093.0	7524.0	8529.0	5659.0	5374.0	2348.0	4781.0	6559.0
NF1_E38_STA100895	1539.0	6483.0	11720.0	2718.0	6649.0	9474.0	4336.0	640.0	5742.0	6083.0	7510.0	5049.0	6621.0	4053.0	3830.0	1775.0	2928.0	4549.0
NF1_E38_STA100896	2316.0	8261.0	15848.0	3266.0	9355.0	12287.0	6203.0	896.0	8787.0	9267.0	10669.0	6552.0	8719.0	5378.0	6113.0	2342.0	4073.0	6109.0
NF1_E38_STA100897	1745.0	9597.0	15724.0	4139.0	5790.0	12934.0	5413.0	943.0	6216.0	7614.0	11459.0	7399.0	7212.0	5280.0	4193.0	2454.0	4200.0	6578.0
NF1_E38_STA100898	1411.0	6148.0	11294.0	2836.0	5682.0	9150.0	2997.0	494.0	4857.0	5310.0	8035.0	4820.0	5033.0	4614.0	4274.0	2167.0	3212.0	6418.0
NF1_E39_STA100899	1852.0	6275.0	12394.0	3249.0	10658.0	8973.0	4593.0	510.0	7304.0	6646.0	7763.0	4623.0	7836.0	4086.0	4422.0	1776.0	3270.0	4866.0
NF1_E39_STA100900	4816.0	18717.0	30747.0	7820.0	22911.0	25330.0	14235.0	1283.0	20033.0	20652.0	22199.0	12706.0	18535.0	11055.0	13558.0	6251.0	10748.0	12688.0
NF1_E39_STA101822	3116.0	12912.0	21202.0	5790.0	17373.0	18190.0	10102.0	867.0	14936.0	14436.0	15621.0	8636.0	13425.0	7546.0	9610.0	4434.0	6688.0	9073.0
NF1_E39_STA100902	3779.0	13190.0	23722.0	6212.0	20558.0	20723.0	8742.0	1155.0	15490.0	13650.0	15996.0	8886.0	15687.0	9144.0	10144.0	4308.0	5873.0	10735.0
NF1_E40_STA100903	3211.0	12294.0	19843.0	4938.0	16121.0	16633.0	9435.0	590.0	12597.0	13421.0	14466.0	8362.0	13622.0	7073.0	8465.0	3162.0	6697.0	9548.0
NF1_E40_STA100904	1190.0	4476.0	9022.0	1960.0	5894.0	6671.0	2810.0	431.0	4240.0	4872.0	5649.0	3401.0	4883.0	2770.0	3147.0	1301.0	2411.0	3877.0
NF1_E40_STA100905	621.0	2250.0	3987.0	1048.0	1841.0	3370.0	1306.0	160.0	1782.0	2014.0	2280.0	1530.0	2922.0	1438.0	1790.0	867.0	949.0	2001.0
NF1_E40_STA100906	3822.0	12239.0	21583.0	5820.0	16476.0	16717.0	8928.0	905.0	14547.0	12592.0	14898.0	9466.0	13561.0	7194.0	7774.0	3354.0	5649.0	9691.0
NF1_E41_STA100907	2407.0	9499.0	16128.0	5480.0	11942.0	14628.0	7239.0	748.0	8629.0	8168.0	12020.0	6508.0	9211.0	4564.0	6413.0	2578.0	4361.0	6403.0
NF1_E41_STA100908	3788.0	14302.0	26213.0	7281.0	13740.0	21142.0	10506.0	938.0	12786.0	12741.0	15317.0	11046.0	19612.0	9315.0	10055.0	5032.0	7033.0	11706.0
NF1_E41_STA100909	1256.0	5713.0	10835.0	2403.0	5948.0	7369.0	3820.0	433.0	4449.0	5859.0	7675.0	4393.0	6009.0	3350.0	4444.0	2106.0	3427.0	4267.0
NF1_E42_STA100910	2115.0	6267.0	14165.0	4167.0	8523.0	9396.0	3730.0	619.0	5274.0	6756.0	9118.0	4745.0	6696.0	4185.0	4279.0	2069.0	3638.0	5732.0
NF1_E42_STA100911	1201.0	3640.0	7246.0	2313.0	5178.0	6059.0	2657.0	360.0	3773.0	3865.0	5260.0	3101.0	4096.0	2580.0	2234.0	1080.0	1753.0	3223.0
NF1_E42_STA100912	7116.0	25598.0	41428.0	9969.0	33098.0	35948.0	19118.0	1797.0	26589.0	27182.0	34071.0	18825.0	29266.0	16699.0	18018.0	8184.0	12893.0	20481.0
