	M21D00182	M21D00185	M21D00194	M21D00219	N21D00184	N21D00213	N21D00214	N21D00217	N21D00218	N21D00223	P21D00158	P21D00159	P21D00164	P21D00165	P21D00169	P21D00170	P21D00173	P21D00180	P21D00181	P21D00186	P21D00189	P21D00190	P21D00191	P21D00195	P21D00200	P21D00209	P21D00210	P21D00215	P21D00221	P21D00222	X21D00163
NF1_E37_STA100890	4665.0	4318.0	1841.0	130.0	3705.0	2151.0	4277.0	1711.0	1307.0	2902.0	461.0	3423.0	5331.0	5246.0	6569.0	4329.0	2485.0	3337.0	1398.0	2927.0	7813.0	2634.0	3180.0	1255.0	7374.0	4291.0	614.0	3296.0	5982.0	2450.0	360.0
NF1_E37_STA100891	8905.0	9645.0	4153.0	340.0	8349.0	4249.0	10501.0	4362.0	2805.0	7418.0	1344.0	8544.0	12678.0	11367.0	16171.0	9874.0	5951.0	9037.0	3661.0	7489.0	17619.0	4506.0	6351.0	3633.0	18145.0	8245.0	1726.0	8528.0	12159.0	6505.0	869.0
NF1_E37_STA100893	3526.0	4412.0	1550.0	172.0	2502.0	1724.0	4407.0	1666.0	1259.0	2364.0	636.0	2777.0	5220.0	4435.0	5421.0	3369.0	2048.0	2505.0	1407.0	2302.0	5315.0	1913.0	2429.0	1145.0	6536.0	3866.0	656.0	2471.0	4111.0	2376.0	637.0
NF1_E38_STA100894	5278.0	6424.0	3219.0	204.0	3548.0	3044.0	6043.0	2607.0	1653.0	3611.0	763.0	4925.0	7299.0	7096.0	7483.0	6163.0	3500.0	5398.0	1798.0	3258.0	9744.0	3127.0	3428.0	2147.0	10397.0	5884.0	886.0	4322.0	6782.0	4456.0	854.0
NF1_E38_STA100895	4027.0	3978.0	1641.0	142.0	2888.0	1814.0	4382.0	1676.0	1287.0	2467.0	612.0	3078.0	4969.0	5158.0	5992.0	3616.0	2117.0	3090.0	1185.0	2635.0	6108.0	2492.0	2688.0	1173.0	7504.0	4593.0	735.0	2709.0	4786.0	2115.0	443.0
NF1_E38_STA100896	4902.0	5048.0	1921.0	130.0	3692.0	2445.0	5390.0	1962.0	1728.0	3044.0	920.0	4333.0	6847.0	6887.0	7702.0	4609.0	2671.0	4137.0	1644.0	3430.0	7737.0	3231.0	3505.0	1561.0	9358.0	5726.0	901.0	3117.0	5611.0	2758.0	490.0
NF1_E38_STA100897	3907.0	3310.0	2252.0	101.0	3344.0	1957.0	6201.0	2415.0	1441.0	3507.0	666.0	3572.0	6649.0	6055.0	6886.0	4707.0	2965.0	4750.0	1711.0	3564.0	9386.0	3320.0	2866.0	1640.0	9200.0	4360.0	658.0	4596.0	6645.0	2865.0	583.0
NF1_E38_STA100898	2346.0	3025.0	1485.0	110.0	2730.0	1498.0	4223.0	1322.0	881.0	2268.0	509.0	2344.0	3710.0	3771.0	5119.0	3377.0	2642.0	2589.0	1217.0	2957.0	5998.0	1945.0	2385.0	928.0	6103.0	2665.0	386.0	2555.0	4671.0	1820.0	369.0
NF1_E39_STA100899	5523.0	5582.0	2811.0	430.0	3288.0	2574.0	5769.0	1328.0	1466.0	3001.0	808.0	4474.0	5878.0	6433.0	6329.0	4954.0	2564.0	5186.0	1459.0	3566.0	8604.0	2951.0	3544.0	1344.0	7718.0	5628.0	895.0	3770.0	5882.0	3200.0	1162.0
NF1_E39_STA100900	10387.0	12071.0	5377.0	567.0	7909.0	5284.0	12448.0	4670.0	3021.0	7604.0	1700.0	7738.0	12567.0	11972.0	16027.0	12154.0	5835.0	12287.0	3263.0	7921.0	18926.0	5449.0	8273.0	3188.0	16617.0	10106.0	1962.0	9134.0	14073.0	7546.0	1693.0
NF1_E39_STA101822	7526.0	8522.0	3669.0	385.0	5528.0	3839.0	8476.0	3156.0	2104.0	5410.0	1252.0	5945.0	8894.0	8870.0	11290.0	8180.0	3953.0	8624.0	2287.0	5646.0	13656.0	3884.0	5860.0	2213.0	11447.0	7710.0	1413.0	6321.0	10021.0	5173.0	1129.0
NF1_E39_STA100902	9162.0	11171.0	4373.0	550.0	7355.0	4953.0	11564.0	3549.0	3171.0	6452.0	1657.0	7854.0	11427.0	10796.0	13725.0	9242.0	5024.0	10128.0	2840.0	6757.0	17456.0	6064.0	7185.0	2704.0	14633.0	11086.0	2124.0	8078.0	12206.0	6805.0	2334.0
