	D21D00904T	D21D00908T	D21D00917T	D21D00921T	D21D00937	D21D00941T	D21D00942	D21D00943	D21D00948	D21D00949	D21D00952	N21D00923	N21D00932	N21D00946	U21D00938	X21D00911	X21D00918HPV
PALB2_E11_STA100723	2140.0	3659.0	3190.0	3859.0	726.0	2726.0	883.0	1662.0	2020.0	1282.0	4792.0	5145.0	5434.0	3080.0	582.0	3657.0	3751.0
PALB2_E10_STA100724	11478.0	19193.0	14095.0	19337.0	5039.0	11053.0	4220.0	12171.0	13487.0	6097.0	21092.0	26796.0	38833.0	27178.0	2591.0	18179.0	17186.0
PALB2_E10_STA100725	11261.0	19002.0	11685.0	18764.0	4931.0	10001.0	3674.0	12054.0	11800.0	5436.0	19208.0	25297.0	30718.0	22770.0	2146.0	20434.0	18443.0
PALB2_E9_STA100726	2809.0	7107.0	3559.0	4575.0	1456.0	4006.0	1418.0	2782.0	3102.0	1755.0	6577.0	7830.0	9046.0	5741.0	872.0	7406.0	6712.0
PALB2_E9_STA100727	8675.0	16767.0	9006.0	18490.0	4272.0	13187.0	4501.0	8621.0	9432.0	3984.0	26090.0	21237.0	31906.0	21485.0	2950.0	17193.0	14966.0
PALB2_E8_STA100728	14891.0	26551.0	15869.0	23264.0	8073.0	14414.0	5283.0	13862.0	13841.0	7353.0	27641.0	33428.0	43966.0	28291.0	3519.0	28671.0	25648.0
PALB2_E8_STA100729	2887.0	5773.0	4498.0	5379.0	1326.0	3998.0	1848.0	2678.0	2429.0	1612.0	7759.0	7739.0	9304.0	5187.0	929.0	6669.0	5909.0
PALB2_E7_STA100730	7900.0	31061.0	16728.0	17390.0	4819.0	15381.0	5013.0	12660.0	10449.0	5730.0	26043.0	24684.0	34712.0	19702.0	3109.0	23046.0	16397.0
PALB2_E7_STA100731	9186.0	27956.0	9547.0	14237.0	4057.0	9944.0	3078.0	9435.0	9645.0	4300.0	14634.0	22117.0	25278.0	18252.0	2328.0	22812.0	14948.0
PALB2_E7_STA100732	6814.0	19237.0	8519.0	10650.0	4071.0	7749.0	2674.0	7320.0	8109.0	4205.0	12645.0	17743.0	26397.0	16893.0	1894.0	15882.0	13152.0
PALB2_E6_STA100733	4642.0	9055.0	7983.0	8934.0	2114.0	5777.0	2597.0	4659.0	4588.0	3579.0	11798.0	9068.0	13286.0	7627.0	1458.0	9644.0	9569.0
PALB2_E5_STA100734	8464.0	23069.0	11211.0	13545.0	3328.0	10939.0	3092.0	8239.0	9247.0	4782.0	20445.0	18822.0	19551.0	16238.0	2957.0	16344.0	12494.0
PALB2_E5_STA100735	12701.0	38869.0	12037.0	21321.0	5636.0	12088.0	4256.0	13347.0	15073.0	6782.0	20860.0	30537.0	37785.0	30793.0	2898.0	23686.0	18605.0
PALB2_E5_STA100736	4607.0	14092.0	4750.0	9733.0	1734.0	5309.0	1857.0	4773.0	5913.0	2202.0	12334.0	16615.0	14531.0	14574.0	1604.0	8025.0	6522.0
PALB2_E5_STA101784	10749.0	35108.0	10259.0	17832.0	4502.0	10606.0	3125.0	9892.0	12961.0	5891.0	17754.0	18324.0	29533.0	23915.0	2983.0	19699.0	15821.0
PALB2_E5_STA100738	1404.0	4637.0	2705.0	3812.0	858.0	2844.0	913.0	1903.0	1952.0	1100.0	5583.0	4679.0	6062.0	3701.0	653.0	3492.0	3234.0
PALB2_E5_STA100739	14662.0	25144.0	25314.0	32269.0	7029.0	22263.0	6687.0	16634.0	18553.0	8942.0	40897.0	32065.0	50967.0	30974.0	5338.0	22987.0	25682.0
PALB2_E5_STA100740	11094.0	21986.0	14501.0	18941.0	5473.0	12916.0	3822.0	10370.0	13010.0	6940.0	20178.0	20071.0	26943.0	22331.0	3249.0	23089.0	20445.0
PALB2_E5_STA100741	10135.0	12576.0	10224.0	15332.0	4005.0	7843.0	3208.0	8583.0	9403.0	4888.0	17469.0	17917.0	29298.0	17750.0	2298.0	12241.0	12592.0
PALB2_E5_STA100742	16977.0	21311.0	18275.0	26911.0	6653.0	13124.0	5408.0	13484.0	14968.0	8025.0	27956.0	30014.0	47411.0	27537.0	4097.0	20210.0	21534.0
PALB2_E5_STA100743	16195.0	31982.0	21557.0	27110.0	7736.0	17446.0	6098.0	13187.0	18505.0	10264.0	29271.0	30740.0	37166.0	33796.0	3893.0	34387.0	31255.0
PALB2_E4_STA100744	3773.0	9606.0	2524.0	3522.0	2277.0	5279.0	1595.0	4186.0	4113.0	2552.0	7811.0	5080.0	7603.0	8183.0	530.0	4554.0	8038.0
PALB2_E4_STA100745	15225.0	35520.0	19017.0	30928.0	6714.0	27710.0	8307.0	16779.0	17844.0	8066.0	40325.0	33583.0	50014.0	34664.0	5246.0	29124.0	29641.0
PALB2_E4_STA100746	8045.0	19608.0	10094.0	14922.0	3530.0	9823.0	3582.0	8269.0	9578.0	3958.0	20936.0	17407.0	24514.0	17277.0	2701.0	14090.0	11973.0
PALB2_E4_STA100747	8464.0	21000.0	10873.0	15919.0	3682.0	10584.0	3852.0	8756.0	10094.0	4206.0	22442.0	18828.0	25822.0	18062.0	2876.0	14975.0	12828.0
PALB2_E4_STA100748	14237.0	32561.0	15546.0	27275.0	5307.0	15017.0	5260.0	14229.0	15375.0	6923.0	26822.0	28636.0	37231.0	27048.0	4125.0	22331.0	19746.0
PALB2_E4_STA100749	3729.0	5347.0	4280.0	7352.0	1044.0	3257.0	1246.0	4000.0	3429.0	1300.0	6973.0	8487.0	12381.0	7834.0	1174.0	3675.0	4403.0
PALB2_E4_STA100750	3635.0	5016.0	3905.0	6937.0	1712.0	2772.0	1242.0	3469.0	3332.0	1646.0	6505.0	7276.0	10587.0	6302.0	1008.0	4977.0	4335.0
PALB2_E4_STA100751	24767.0	36234.0	24433.0	36684.0	9551.0	20224.0	7517.0	21359.0	24026.0	13634.0	36924.0	38782.0	57961.0	43266.0	5550.0	35547.0	31182.0
