	C21D00050	D21D00052	D21D00060T	D21D00065	D21D00066T	D21D00074T	K21D00053	M21D00054	M21D00075	N21D00042	N21D00061	O21D00086T	P20D02528	P21D00043	P21D00044	P21D00045	P21D00046	P21D00055	P21D00056	P21D00062	P21D00067	P21D00068	P21D00078	P21D00083	P21D00091	U21D00040	X21D00037	X21D00058T	X21D00069	X21D00077
NF1_E21_STA100847	26315.0	12063.0	26933.0	13277.0	24933.0	24283.0	8244.0	22681.0	10412.0	22078.0	23686.0	12631.0	2918.0	12686.0	19025.0	16086.0	15339.0	6591.0	9006.0	7914.0	32387.0	7642.0	1899.0	2676.0	1428.0	18369.0	7987.0	13368.0	5324.0	4196.0
NF1_E21_STA100848	12340.0	6791.0	15270.0	7282.0	14927.0	14343.0	5275.0	11527.0	6495.0	10741.0	17320.0	6527.0	1934.0	7817.0	11416.0	7413.0	7389.0	3886.0	3952.0	5075.0	17118.0	4738.0	891.0	2004.0	983.0	8725.0	4008.0	7096.0	2980.0	2988.0
NF1_E22_STA100849	6305.0	3083.0	7175.0	3434.0	6444.0	6946.0	2826.0	4917.0	3436.0	5509.0	8248.0	3051.0	753.0	4109.0	4971.0	3273.0	3238.0	1630.0	1857.0	2025.0	7655.0	2149.0	494.0	970.0	444.0	4403.0	2271.0	3543.0	1578.0	1694.0
NF1_E22_STA100850	30952.0	16599.0	41339.0	19215.0	39877.0	37736.0	18522.0	37883.0	16863.0	36584.0	36520.0	15926.0	5153.0	27862.0	36644.0	22860.0	20611.0	11579.0	11361.0	10868.0	50176.0	14792.0	2559.0	4095.0	1913.0	25784.0	12208.0	17882.0	9445.0	7153.0
NF1_E22_STA100851	2603.0	1371.0	5180.0	1593.0	3645.0	4003.0	1857.0	4436.0	1667.0	2959.0	3667.0	1954.0	452.0	2410.0	3704.0	2379.0	1982.0	1039.0	1333.0	1148.0	5052.0	1332.0	228.0	396.0	228.0	2215.0	1066.0	2165.0	717.0	775.0
NF1_E23_STA100852	2436.0	1065.0	3520.0	1398.0	3152.0	2603.0	1491.0	2643.0	1145.0	2553.0	3964.0	1311.0	296.0	1957.0	2515.0	1638.0	1346.0	606.0	824.0	644.0	4200.0	1072.0	130.0	498.0	170.0	1609.0	739.0	1480.0	560.0	736.0
NF1_E23_STA100853	2102.0	1029.0	2863.0	1168.0	2608.0	2594.0	1246.0	2195.0	1171.0	2025.0	2555.0	1328.0	240.0	1517.0	2193.0	1679.0	1553.0	733.0	821.0	725.0	3115.0	767.0	135.0	349.0	135.0	1532.0	847.0	1633.0	461.0	557.0
NF1_E23_STA100854	5787.0	2592.0	6758.0	3190.0	6229.0	5685.0	3092.0	5871.0	2913.0	5957.0	6629.0	2831.0	815.0	4496.0	5699.0	3739.0	4024.0	1561.0	1732.0	2024.0	8550.0	2101.0	336.0	857.0	280.0	4183.0	1670.0	3334.0	959.0	1282.0
NF1_E24_STA100855	10520.0	5278.0	15951.0	5934.0	11558.0	13346.0	5624.0	10804.0	5549.0	11996.0	15452.0	6585.0	1558.0	7710.0	11864.0	6481.0	6951.0	3271.0	4098.0	3712.0	17039.0	4676.0	820.0	1936.0	634.0	7906.0	3413.0	6653.0	2959.0	2979.0
NF1_E24_STA103211	3096.0	1405.0	3068.0	1509.0	3358.0	3020.0	1075.0	2789.0	1475.0	2680.0	2239.0	1383.0	303.0	1511.0	2797.0	1867.0	2095.0	1046.0	1236.0	843.0	4629.0	903.0	126.0	317.0	108.0	1731.0	969.0	1632.0	484.0	469.0
NF1_E25_STA100857	2238.0	1464.0	3753.0	1706.0	3130.0	2645.0	1316.0	3451.0	853.0	2863.0	3646.0	1499.0	378.0	1762.0	2791.0	1595.0	1598.0	888.0	1188.0	822.0	4696.0	1000.0	223.0	420.0	201.0	2023.0	849.0	1581.0	633.0	567.0
NF1_E25_STA100858	10802.0	6398.0	12484.0	5998.0	11870.0	9932.0	4072.0	10670.0	4885.0	10913.0	10418.0	4770.0	1512.0	7274.0	9843.0	6282.0	6834.0	2927.0	4125.0	3634.0	14377.0	3412.0	724.0	1600.0	722.0	8107.0	3197.0	6236.0	2112.0	2235.0
NF1_E26_STA100859	1680.0	985.0	2850.0	1126.0	2580.0	2062.0	1183.0	2655.0	847.0	2410.0	2383.0	896.0	300.0	1437.0	1976.0	1280.0	1198.0	713.0	876.0	639.0	3818.0	771.0	238.0	312.0	106.0	1489.0	794.0	1323.0	562.0	362.0
NF1_E26_STA100860	25254.0	11796.0	24644.0	12363.0	22523.0	22771.0	7470.0	22598.0	12043.0	25074.0	24465.0	11367.0	2338.0	14327.0	20124.0	13251.0	12946.0	6440.0	7600.0	7533.0	28876.0	7750.0	1721.0	2912.0	936.0	15060.0	8294.0	11050.0	5615.0	3504.0
NF1_E26_STA100861	5218.0	2382.0	6611.0	2491.0	5456.0	5451.0	1405.0	5877.0	2321.0	5368.0	5845.0	2674.0	699.0	3236.0	4937.0	3296.0	3316.0	1618.0	2206.0	1626.0	7420.0	1977.0	412.0	792.0	172.0	4125.0	2074.0	2525.0	1229.0	596.0
NF1_E27_STA100862	2620.0	1598.0	5386.0	1692.0	3812.0	3124.0	1592.0	4875.0	1446.0	4106.0	3643.0	1686.0	534.0	2362.0	3410.0	2397.0	2129.0	1056.0	1782.0	1156.0	5701.0	1587.0	405.0	480.0	235.0	2508.0	1051.0	1729.0	1174.0	539.0
NF1_E27_STA100863	10015.0	5991.0	15845.0	6564.0	12920.0	10827.0	5018.0	13601.0	5166.0	13107.0	15151.0	5860.0	1520.0	7672.0	11049.0	6719.0	6667.0	3368.0	4275.0	3352.0	17265.0	4477.0	1120.0	1590.0	726.0	8076.0	4102.0	6305.0	2767.0	2060.0
NF1_E27_STA100864	3786.0	2178.0	4318.0	2182.0	3816.0	3484.0	1146.0	3584.0	1375.0	3461.0	3298.0	1882.0	406.0	1494.0	2680.0	2392.0	1998.0	898.0	1376.0	1138.0	4815.0	1462.0	224.0	684.0	259.0	2358.0	1244.0	2327.0	854.0	741.0
NF1_E27_STA100865	11243.0	6436.0	13536.0	6504.0	11764.0	12388.0	5892.0	10728.0	5918.0	11767.0	15924.0	5666.0	1644.0	8047.0	10472.0	6811.0	6232.0	3225.0	3340.0	3826.0	16494.0	4438.0	986.0	1848.0	766.0	8183.0	3776.0	6277.0	2882.0	2641.0
NF1_E28_STA100866	2497.0	1601.0	4217.0	1484.0	3019.0	2614.0	1563.0	3527.0	978.0	3288.0	4001.0	1704.0	438.0	2034.0	2738.0	1702.0	1644.0	985.0	1136.0	951.0	4257.0	1019.0	170.0	544.0	304.0	2140.0	948.0	1859.0	670.0	605.0
