	C21D00575	D21D00569T	D21D00578T	D21D00591	D21D00593	D21D00597	D21D00609T	D21D00611T	M21D00568	M21D00589	N21D00564	N21D00580	N21D00608	P21D00567	P21D00573	P21D00584	P21D00586	P21D00588	P21D00594	P21D00595	P21D00596	P21D00598	P21D00599	P21D00605	P21D00606	T21D00581	X21D00548T	X21D00552	X21D00558	X21D00587	X21D00600
TERT_E11_STA101170	706.0	1767.0	1429.0	1685.0	720.0	1156.0	95.0	1673.0	625.0	801.0	935.0	2504.0	2442.0	207.0	3746.0	999.0	3896.0	1620.0	399.0	331.0	1477.0	2116.0	398.0	883.0	1197.0	2304.0	1219.0	382.0	286.0	289.0	149.0
TERT_E10_STA101171	614.0	1534.0	1248.0	1760.0	703.0	1296.0	111.0	1825.0	563.0	726.0	922.0	2358.0	2442.0	285.0	3916.0	1113.0	3436.0	1920.0	696.0	340.0	1613.0	2317.0	417.0	890.0	1089.0	2446.0	1307.0	462.0	292.0	327.0	37.0
TERT_E10_STA101172	2661.0	7015.0	6123.0	6544.0	3046.0	5843.0	494.0	9388.0	4578.0	3411.0	3716.0	14056.0	9392.0	1822.0	15221.0	5115.0	12339.0	7513.0	2866.0	1417.0	6966.0	9317.0	2502.0	4215.0	4597.0	9877.0	5807.0	2160.0	1400.0	1096.0	182.0
TERT_E9_STA101173	901.0	2280.0	1736.0	2038.0	1010.0	1853.0	136.0	2537.0	1059.0	999.0	1146.0	3222.0	2530.0	371.0	4492.0	1523.0	4187.0	1876.0	797.0	502.0	1679.0	2843.0	810.0	1122.0	1292.0	2726.0	1667.0	687.0	496.0	347.0	65.0
TERT_E9_STA101174	1782.0	5476.0	4172.0	4077.0	2118.0	3796.0	336.0	6160.0	2538.0	2366.0	2457.0	9903.0	6636.0	1144.0	10384.0	3018.0	8989.0	5963.0	2158.0	1291.0	4883.0	7380.0	1729.0	3121.0	3310.0	6514.0	3775.0	1092.0	1011.0	720.0	86.0
TERT_E8_STA101814	138.0	676.0	502.0	485.0	231.0	707.0	71.0	719.0	337.0	239.0	289.0	1406.0	704.0	83.0	1141.0	359.0	1119.0	573.0	125.0	160.0	566.0	709.0	120.0	379.0	390.0	863.0	608.0	111.0	96.0	50.0	36.0
TERT_E8_STA101176	1923.0	5253.0	4604.0	5023.0	2088.0	4187.0	361.0	7813.0	3787.0	2090.0	3199.0	13465.0	6716.0	985.0	15422.0	3648.0	10841.0	4691.0	1961.0	1469.0	4660.0	8030.0	1607.0	3962.0	3770.0	6920.0	4479.0	1266.0	1005.0	827.0	183.0
TERT_E7_STA101177	827.0	1807.0	1434.0	1261.0	603.0	2090.0	196.0	2404.0	937.0	841.0	863.0	3832.0	2244.0	346.0	4228.0	1249.0	3036.0	1445.0	647.0	520.0	1742.0	2686.0	271.0	1532.0	1063.0	2935.0	1612.0	374.0	261.0	312.0	67.0
TERT_E6_STA101178	2960.0	7303.0	6057.0	7096.0	3404.0	8318.0	1438.0	12791.0	5039.0	2813.0	3656.0	18958.0	9064.0	1868.0	15990.0	5243.0	15126.0	5951.0	3105.0	1960.0	6718.0	10035.0	1956.0	5408.0	4600.0	10093.0	7722.0	1579.0	1985.0	1005.0	362.0
TERT_E6_STA101179	2681.0	6370.0	6229.0	6550.0	3610.0	7996.0	1041.0	11199.0	4514.0	2900.0	3815.0	14401.0	7713.0	1363.0	15238.0	4113.0	12967.0	5412.0	2394.0	1743.0	6165.0	8946.0	2065.0	4320.0	3672.0	9026.0	6393.0	1167.0	1438.0	1082.0	252.0
TERT_E5_STA101180	938.0	3745.0	3179.0	2844.0	1297.0	3331.0	314.0	4677.0	1957.0	1610.0	1866.0	8836.0	4497.0	449.0	7032.0	2603.0	6451.0	2566.0	1050.0	907.0	3922.0	4062.0	701.0	2497.0	2647.0	5622.0	3658.0	674.0	553.0	583.0	318.0
TERT_E5_STA101181	764.0	4180.0	1944.0	1974.0	1030.0	2930.0	400.0	3554.0	1505.0	896.0	1140.0	6327.0	3247.0	415.0	6321.0	2042.0	4841.0	2040.0	1006.0	903.0	2507.0	3871.0	585.0	1865.0	1505.0	3920.0	2688.0	488.0	353.0	243.0	132.0
TERT_E5_STA101182	1917.0	13205.0	5615.0	5602.0	2779.0	7425.0	520.0	9993.0	3876.0	2862.0	3437.0	15922.0	8847.0	1122.0	17528.0	5200.0	13303.0	5065.0	2168.0	2228.0	7212.0	10541.0	1589.0	5174.0	4425.0	11971.0	7170.0	1502.0	1110.0	754.0	401.0
