	D22D01232T	D22D01243T	D22D01253T	D22D01255T	D22D01259T	D22D01264T	E22D01256T	M22D01252	N22D01235	N22D01242	N22D01248	P22D01231	P22D01234	P22D01244	P22D01246	P22D01247	P22D01257	P22D01258	P22D01262	R22D01249	X22D00781	X22D00784	X22D00786	X22D00787	X22D00790	X22D00791	X22D00794	X22D00797	X22D00867	X22D00871	X22D00876	X22D01254
10q23_PTEN_E9_STA101842	11284	12083	10381	13101	2989	3230	5178	2850	14069	2132	3793	0	280	3124	3182	6078	2716	1892	2849	1696	0	0	2	2	0	0	4	0	0	10	2	7222
10q23_PTEN_E9_STA100512	11278	12082	10377	13096	2990	3226	5176	2847	14060	2131	3791	0	280	3119	3181	6077	2715	1891	2847	1696	0	0	2	2	0	0	4	0	0	10	2	7219
10q23_PTEN_E9_STA100514	9992	8532	7756	11794	2792	3740	3998	2124	13094	3090	3122	2	262	2826	4064	5460	1938	1998	3328	826	2	0	0	0	0	0	4	0	14	2	14	6602
13q13_BRCA2_E2_STA100515	5522	8168	1046	144	1158	1228	1750	1918	4810	5124	1938	0	54	580	1484	2152	1344	898	1214	244	2	0	0	0	0	2	0	2	2	2	8	942
13q13_BRCA2_E3_STA100516	40391	63896	43525	37283	11806	13500	11162	10123	45183	38323	17009	12	936	9002	13696	16332	7008	6329	10131	3692	0	8	6	8	22	10	68	4	6	6	112	10315
13q13_BRCA2_E3_STA100517	45450	77623	46864	42958	13107	15686	12062	11350	50334	44395	18568	16	1009	10184	15820	18751	7893	7102	11805	3947	2	9	8	8	22	12	70	4	6	8	118	12268
13q13_BRCA2_E3_STA101751	21449	44469	22723	24989	6015	7898	6101	6019	27112	23731	7219	36	347	5131	7841	9299	4211	3775	5744	1605	34	4	4	2	2	8	6	4	58	6	28	10443
13q13_BRCA2_E3_STA100519	14062	29200	13560	16590	3818	5418	3727	3708	18157	15728	4656	30	168	3351	5011	6153	2410	2355	3873	901	34	2	4	2	2	4	4	2	58	6	20	6444
13q13_BRCA2_E4_STA100520	8668	18497	8415	10008	2636	2628	2510	2655	11539	10119	4034	4	102	2129	2710	4452	1228	1365	2393	727	0	2	2	2	14	8	0	2	4	2	34	5276
13q13_BRCA2_E4_STA100521	8671	18515	8418	10013	2638	2632	2510	2655	11547	10126	4035	4	102	2129	2712	4454	1228	1365	2396	728	0	2	2	2	14	8	0	2	4	2	34	5278
13q13_BRCA2_E5_STA100522	4331	8712	6654	5037	1029	1333	1656	1431	4950	5322	2942	0	84	1138	1182	2363	1046	618	1076	482	0	0	0	0	2	0	0	0	2	0	10	3164
13q13_BRCA2_E6_STA100523	4329	8706	6647	5033	1027	1331	1655	1430	4944	5318	2940	0	84	1138	1180	2360	1043	618	1076	481	0	0	0	0	2	0	0	0	2	0	10	3161
13q13_BRCA2_E7_STA100524	18693	29842	19718	18625	5460	6138	5139	4581	21517	19886	8035	4	492	4793	5379	7326	3118	3130	4609	1264	8	0	2	4	2	0	0	2	70	2	20	9053
13q13_BRCA2_E7_STA100525	18520	29568	19503	18442	5400	6078	5096	4531	21276	19656	7964	4	483	4749	5322	7224	3093	3100	4556	1255	8	0	2	4	2	0	0	2	69	2	20	8957
13q13_BRCA2_E8_STA100526	15720	15988	9260	9504	2790	3224	1932	2358	13686	8918	5608	0	206	2044	2428	2786	1646	1870	2678	656	0	0	0	0	2	8	0	0	0	0	2	4200
13q13_BRCA2_E9_STA100527	12217	28992	12821	19145	5864	5500	3996	5341	23815	17536	5913	4	447	3014	4993	7795	1647	2078	4142	881	43	2	4	10	2	7	2	4	62	14	41	7997
13q13_BRCA2_E9_STA100528	19806	42095	18331	25843	8181	8202	5906	7453	32592	25784	9186	4	692	4898	7142	10371	2498	3018	5746	1562	120	4	6	14	2	8	2	4	102	16	76	11451
13q13_BRCA2_E9_STA100529	17780	36263	16151	22195	7352	7252	5083	6636	29384	22245	7944	4	642	4256	6220	8597	2158	2656	4983	1334	120	4	4	14	0	8	2	4	98	14	74	10055
13q13_BRCA2_E10_STA100530	14775	30798	12851	15815	4160	5326	3779	3285	16592	17233	7376	8	76	3155	5540	6872	2268	2309	3883	898	66	6	2	0	0	2	2	4	38	12	42	7304
13q13_BRCA2_E10_STA100531	16502	35848	15157	17960	4635	5962	4296	3925	18644	19165	8186	10	106	3585	6159	7905	2632	2628	4352	1057	66	8	2	2	0	2	4	4	48	12	46	8383
13q13_BRCA2_E10_STA100532	25242	49079	25673	30609	7660	9138	6276	6403	31290	27865	8466	6	546	5515	9204	10248	3467	4240	5971	1716	68	2	4	2	2	4	10	2	84	4	50	12553
13q13_BRCA2_E10_STA100533	25952	55783	23009	34735	7760	10219	5755	7219	36536	33363	7205	4	632	5657	9405	10172	3744	4365	6394	1677	8	2	4	4	6	4	10	6	52	6	32	12302
13q13_BRCA2_E10_STA100534	40953	80620	27800	41507	11286	14574	6981	9516	50642	46934	9189	4	693	8891	13515	14021	5215	6455	8773	2557	12	10	6	2	8	8	12	14	55	12	64	15118
13q13_BRCA2_E10_STA100535	39251	75411	20741	32498	10377	12883	5561	8405	47991	41070	8352	2	438	9157	12252	11934	4965	5886	7841	2347	12	12	6	2	6	4	6	18	40	10	94	11534
13q13_BRCA2_E10_STA100536	38581	71595	26570	30790	10742	12777	6786	9525	44638	37686	9499	2	411	10096	11672	12896	5766	6134	7282	2485	16	14	10	10	2	6	4	24	48	12	80	12840
13q13_BRCA2_E10_STA100537	25891	50658	23283	27545	7908	9322	6012	7638	33607	26614	8218	1	409	7338	8774	10105	4544	4460	5585	1711	12	4	10	10	4	5	2	38	36	13	44	11506
13q13_BRCA2_E10_STA100538	19694	38152	19198	22690	5901	7429	5375	6184	26024	22877	7350	6	266	5093	6458	8373	3568	3556	4400	1245	48	2	10	10	6	6	2	41	27	13	156	9893
13q13_BRCA2_E10_STA100539	19853	39258	15077	21906	5490	7082	4412	4652	27059	26166	6289	10	264	4191	6928	8765	2752	2940	4763	1082	38	0	8	4	10	6	2	30	40	12	166	8869
